Index,Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,35.679,51.293,55.035,40.925,,47.68995549,47.163,23.682,38.509,,34.157,22.4,17.9,45.931,48.184,16.8,44.304,47.24,49.023,17.8,45.934,34.388,31.504,23.454,44.967,28.3,44.539,42.336,30.576,45.183,49.768,47.246,43.715,26.7,19.11743371,17.7,16.068,36.034,20.86,55.522,42.829,46.651,42.356,44.904,47.707,48.011,44.558,40.30751376,31.95,,,25.558,13.4,17.3,43.595,,16.6,51.889,49.671,26.59031822,43.627366,26.27956387,27.31294301,22.09906876,44.27,47.199,18.83871268,48.727,21.7,16.7,47.821,18.57959189,46.9122052,18.5,45.415,18.7,,43.567,32.86,17.5,25.078,46.808,,46.05,49.297,42.367,41.49,18.9,44.853,,48.399,37.601,43.02,21.66087432,35.246,49.949,48.32191719,18.4,44.211,14.7,32.61587383,35.02409917,47.08637416,45.14652615,44.56,48.01102923,14.1,42.1,,21.5,47.771,42.164,28,26.9,18.1,40.608,51.634,17.3,35.529,51.274,40.682,46.626,47.453,,42.266,42.134,43.97033044,43.308,38.373,49.024,50.392,48.9,41.35255821,48.1151521,47.66594622,23.1,37.098,42.67759986,35.33114888,42.266,25.77639116,22.5,16,16.7,30.459,,50.98,,27.697,48.704,54.695,47.28245771,45.529,,34.34256479,29.665,50.189,26.2,43.293,47.78820423,29.553,45.987,,49.898,49.35,44.208,51.8,42.694,23.97152386,42.446,34,58.122,46.336,51.459,20.8,17.3,44.942,,26.5,23.00612393,49.347,37.61345951,44.187,41.439,47.198,44.302,,42.407,22.6,48.14023655,32.4,37.139,24.1,41.888,,45.50380397,20.98434074,41.275,42.381,19.1,23.788,52.248,42.96067582,47.577,46.7,50.325,37.5,40.781,47.149,47.381,,47.63,,47.50474292,50.87,47.50474292,38.86316611,47.615,45.47,21.7,17.6,13.7,47.593,,,48.441,,45.764,26.45376096,26.72662805,47.479,42.737,48.646,45.71,41.79023816,46.228,47.78820423,47.175,42.96067582,47.50474292,37.333,45.474,45.393,,49.296,49.557,21.011,27.53932983,22.075,23.7,44.066,47.877,46.461,,35,42.165,48.783,31.80445769,48.133,,50.428,40.222,49.994,48.164
2,1961,34.529,51.395,54.773,40.369,,47.46802486,46.588,23.459,37.217,,33.882,22.9,18.6,45.741,48.159,17.3,44.733,47.215,49.112,17.4,45.855,34.036,30.907,22.787,44.382,,44.279,42.029,29.984,44.164,49.863,47.129,43.792,26,18.10795587,18.3,16.424,35.653,18.02,55.192,43.105,46.732,42.456,44.667,47.595,47.645,44.125,39.99358033,33.187,,,25.222,13.7,17.9,43.872,,16.6,51.048,49.576,24.55346051,43.38576039,24.46170407,26.43506004,21.78311238,44.047,46.572,19.01736162,48.612,21.2,16.5,47.837,18.53410217,46.83380954,18.4,44.277,18.7,,43.218,33.436,17.9,24.858,47.021,,45.86,49.531,42.172,41.393,17.9,43.465,,47.843,37.994,42.124,21.48899331,35,49.63,48.29775284,17.8,43.957,14,31.50037785,34.11611453,47.04461754,45.13828425,44.277,47.95277971,13.8,41.857,,21.2,47.227,42.542,25.5,25.1,18.4,40.802,52.36,17,34.891,51.173,40.316,46.353,46.791,,41.006,42.794,43.72070263,43.153,37.937,49.116,50.321,47.904,41.12146929,48.0693605,47.553098,21.3,36.438,42.41673278,34.42834337,42.282,23.89832132,22.2,16.1,16.7,28.435,,50.537,,26.863,48.594,54.92,46.93172629,45.141,,33.36615556,29.113,50.132,23.6,42.818,47.45910968,28.91,46.783,,49.612,49.048,39.7,52.113,42.322,23.54426229,42.36,33.2,58.195,46.288,50.333,21.3,17.3,44.593,,27.1,22.84789473,49.272,37.12289758,44.259,41.253,47.046,43.771,,42.284,20.9,48.14167338,31.4,35.904,24.4,41.62,,44.80648276,20.83751922,40.342,41.741,17.5,22.734,51.642,42.7713694,47.576,46.76,50.287,35.2,40.863,47.425,47.17,,47.52,,47.4585171,51.09,47.4585171,38.41747684,47.35,45.118,20.8,18.2,13.9,47.682,,,48.087,,45.668,24.40330509,25.77493361,47.568,42.618,48.472,45.552,41.51538455,46.235,47.45910968,46.721,42.7713694,47.4585171,36.733,45.404,44.721,,49.249,49.427,19.808,25.83866978,22.007,23.3,43.94,47.297,46.393,,34.62,41.66,48.29,31.08574256,47.772,,50.896,39.987,50.14,48.162
3,1962,33.32,51.488,54.509,39.628,,47.24549612,45.963,23.242,35.561,,33.658,22.1,18.7,45.15,48.136,16.8,45.13,47.21,49.15,16.7,45.645,33.381,30.233,21.975,43.862,26,44.025,41.611,29.266,43.045,49.937,47.003,43.83,25.2,17.20412518,18.7,16.704,35.238,37.01,54.848,43.388,46.802,42.557,44.394,47.418,47.169,43.469,39.51527869,34.162,,,24.746,13.9,17.8,44.125,,16.7,50.122,49.416,38.50021624,43.1218637,36.35737989,25.47687361,21.32888473,43.819,45.977,18.8988046,48.458,21.1,16.1,47.843,18.3373343,46.770903,18.1,42.999,18.6,,42.933,34.027,18.3,24.511,47.199,,45.669,49.677,42.035,41.337,18,41.625,,47.334,38.025,41.204,21.1494197,34,49.358,48.26753833,17.2,43.638,12.9,37.70682867,39.27597993,46.9767088,45.0794729,43.934,47.88030978,14.1,41.594,,21.8,46.66,43.167,25.8,24.9,18.4,40.825,52.928,17.1,33.968,51.062,39.651,46.067,45.908,,39.577,43.594,43.39955359,43.031,37.425,49.164,50.349,46.807,40.83708494,48.01349356,47.45762539,20.6,35.764,42.1286296,39.71389288,42.303,35.09483228,20.9,16,16.1,26.221,,49.971,,25.91,48.485,54.925,46.60723831,44.777,,39.08481727,28.664,50.103,23.2,42.374,47.12389586,28.152,47.307,,49.324,48.707,38.8,52.424,41.744,22.65481149,42.285,32.4,58.228,46.215,49.26,20.9,17.1,44.275,,26.2,22.52078551,49.183,36.96885528,44.283,41.013,46.836,43.24,,42.152,19.8,48.14306356,31.3,34.975,24.5,41.355,,44.0052879,20.47497662,39.445,41.146,16.2,21.543,51.036,42.55887728,47.556,46.831,50.258,33.7,40.937,47.698,46.866,,47.424,,47.41106502,51.27,47.41106502,38.13589545,46.929,44.633,19.8,18.1,14.2,47.813,,,47.729,,45.587,38.54705354,24.8106046,47.663,42.47,48.073,45.121,41.18505766,46.208,47.12389586,46.124,42.55887728,47.41106502,35.869,45.284,44.044,,49.191,49.319,18.654,36.53212462,21.867,22.4,43.564,46.647,46.121,,34.24,41.048,47.716,34.93787808,47.325,,51.374,39.731,50.213,48.128
4,1963,32.05,51.572,54.235,38.724,,47.01478571,45.285,23.038,33.629,,33.48,21.5,18.8,44.147,48.105,17.1,45.489,47.229,49.142,16.4,45.28,32.417,29.458,21.053,43.407,,43.778,41.064,28.41,41.859,49.991,46.876,43.834,24.6,16.99422161,19.3,16.872,34.787,43.37,54.502,43.663,46.856,42.655,44.056,47.197,46.586,42.597,38.8793901,34.723,,,24.113,15.4,18.1,44.351,,17.6,49.13,49.181,43.06358297,42.83592107,40.26111738,24.524089,21.02101293,43.583,45.424,19.00440946,48.278,21.4,15.3,47.828,18.41504112,46.71611141,18.2,41.636,18.5,,42.706,34.61,18.5,24.053,47.334,,45.485,49.757,41.954,41.326,17.5,39.425,,46.884,37.659,40.308,21.00397769,33.5,49.14,48.23058672,16.5,43.246,13.1,39.56823871,40.80855362,46.8843841,44.97398049,43.551,47.7941377,14.8,41.308,,22.2,46.078,43.936,26,25,18.7,40.673,53.286,17.4,32.779,50.949,38.73,45.762,44.82,,38.068,44.488,42.99375248,42.941,36.837,49.173,50.485,45.68,40.47669325,47.94687612,47.39275688,22,35.114,41.8198867,41.28733613,42.332,38.66904487,19.7,15.8,15.3,23.892,,49.282,,24.869,48.383,54.749,46.27761767,44.45,,40.79191683,28.304,50.099,20.7,41.959,46.77771279,27.286,47.503,,49.049,48.346,40.4,52.726,40.946,21.96414032,42.226,33.1,58.215,46.124,48.306,20.9,17.3,43.992,,25.5,22.38896327,49.082,36.85399428,44.262,40.718,46.556,42.71,,42.011,19.2,48.14163034,31,34.581,23.5,41.083,,43.12540863,20.29633251,38.618,40.595,15.7,20.257,50.471,42.32242901,47.511,46.906,50.234,33.2,41.021,47.951,46.472,,47.34,,47.35956591,51.41,47.35956591,37.82796156,46.345,43.99,20.4,18,14.8,47.983,,,47.374,,45.531,43.17525066,23.89750128,47.757,42.284,47.477,44.433,40.79239855,46.127,46.77771279,45.38,42.32242901,47.35956591,34.731,45.102,43.376,,49.125,49.231,17.615,39.93057832,21.661,21.7,42.949,45.939,45.607,,33.86,40.371,47.061,36.11066205,46.766,,51.844,39.455,50.207,48.055
5,1964,30.737,51.644,53.956,37.696,,46.77021394,44.546,22.857,31.54,,33.328,20.5,18.5,42.774,48.059,17.2,45.805,47.273,49.091,16.1,44.749,31.2,28.584,20.068,43.018,,43.539,40.392,27.429,40.655,50.02,46.752,43.807,23.4,16.50462509,19.5,16.909,34.293,39.14,54.162,43.919,46.891,42.747,43.625,46.951,45.911,41.53,38.11076351,34.8,,,23.339,15.9,18,44.546,,17.7,48.093,48.877,39.84463941,42.53381865,37.48060175,23.55353872,20.70961733,43.334,44.914,19.20846908,48.081,22,15.4,47.789,18.50993329,46.66199553,17.7,40.247,18.4,,42.523,35.166,18.8,23.507,47.421,,45.319,49.793,41.924,41.362,18,37.01,,46.502,36.928,39.471,20.8537426,30.7,48.973,48.18711489,16.2,42.781,13.1,37.81373522,39.33574726,46.77147797,44.8302751,43.141,47.69569062,14.4,41.004,,22.4,45.491,44.739,25.3,25.7,19.7,40.353,53.409,17.8,31.392,50.842,37.625,45.435,43.562,,36.559,45.411,42.50260307,42.883,36.187,49.152,50.708,44.577,40.04583588,47.86944334,47.36045036,20.6,34.504,41.49987113,39.79941038,42.368,35.83310705,19,16,14.8,21.537,,48.487,,23.784,48.292,54.428,45.95148071,44.167,,39.1859907,28.007,50.113,19.9,41.571,46.41789157,26.34,47.367,,48.799,47.983,38.9,53.009,39.951,21.31043823,42.191,33.8,58.153,46.025,47.517,20.7,17.7,43.746,,24.2,22.27513333,48.975,36.64996786,44.199,40.371,46.196,42.181,,41.866,18.1,48.13542574,31,34.79,24,40.791,,42.20177153,20.14833233,37.88,40.082,15.2,18.936,49.985,42.06701383,47.439,46.98,50.213,31.6,41.148,48.17,46.003,,47.262,,47.29010843,51.508,47.29010843,37.41940018,45.616,43.186,20.1,17.9,16,48.182,,,47.034,,45.511,39.91074558,22.92468941,47.847,42.042,46.729,43.534,40.33908525,45.972,46.41789157,44.491,42.06701383,47.29010843,33.361,44.843,42.732,,49.053,49.16,16.739,37.2470961,21.406,21.1,42.133,45.187,44.847,,33.48,39.668,46.339,35.00237919,46.091,,52.286,39.163,50.129,47.948
6,1965,29.413,51.7,53.691,36.599,,46.50222879,43.703,22.709,29.447,,33.165,19.6,17.9,41.099,47.983,16.4,46.075,47.332,48.997,15.3,44.032,29.865,27.642,19.089,42.693,,43.307,39.61,26.365,39.518,50.016,46.633,43.751,21.3,15.9367536,19.1,16.802,33.739,37.88,53.837,44.144,46.903,42.834,43.047,46.696,45.167,40.284,37.24472994,34.401,,,22.473,15.1,17.4,44.713,,18,47.03,48.524,38.80942697,42.21885057,36.61427655,22.60867022,20.0118896,43.062,44.436,18.6173353,47.871,21.1,14.6,47.741,17.95741255,46.59999049,17.1,38.894,18.2,,42.357,35.668,18.3,22.898,47.45,,45.186,49.816,41.943,41.439,17.7,34.594,,46.189,35.932,38.721,20.15011731,28.1,48.837,48.13904346,16.6,42.242,13.1,37.06829601,38.69938599,46.64418329,44.66319717,42.71,47.58696857,14.9,40.686,,22.1,44.901,45.453,24.6,25.8,19,39.856,53.299,18.7,29.932,50.753,36.441,45.082,42.156,,35.128,46.297,41.93502636,42.854,35.495,49.114,50.978,43.524,39.54635673,47.78157357,47.35466733,20.6,33.925,41.1764513,39.15896198,42.416,34.78496294,18.1,16,13.8,19.265,,47.601,,22.725,48.217,53.984,45.59097231,43.96,,38.49380875,27.722,50.143,17.7,41.205,46.03643251,25.36,46.948,,48.591,47.632,36,53.259,38.817,19.57472673,42.205,34.5,58.039,45.941,46.926,19.9,17.8,43.535,,22.9,21.62268004,48.855,36.17725016,44.093,39.979,45.746,41.654,,41.722,17.4,48.12562014,30.7,35.507,23.4,40.441,,41.2762358,19.4225818,37.246,39.568,14.6,17.676,49.617,41.79553299,47.343,47.047,50.193,29.5,41.386,48.348,45.481,,47.186,,47.2156552,51.558,47.2156552,36.80727565,44.781,42.24,19.3,18.5,15.9,48.4,,,46.729,,45.549,38.85246864,22.02432076,47.93,41.709,45.895,42.495,39.83293499,45.726,46.03643251,43.437,41.79553299,47.2156552,31.862,44.489,42.132,,48.972,49.098,16.063,36.24625995,21.139,19.4,41.185,44.406,43.849,,33.1,38.985,45.57,34.38699487,45.314,,52.664,38.869,50,47.818
7,1966,28.121,51.736,53.469,35.494,,46.20269181,42.704,22.602,27.496,,32.948,19.8,17.6,39.22,47.866,15.9,46.296,47.388,48.857,14.9,43.115,28.595,26.685,18.181,42.432,20.3,43.083,38.741,25.277,38.537,49.966,46.516,43.667,19.3,15.56300119,18.5,16.555,33.104,35.05,53.531,44.335,46.888,42.92,42.269,46.44,44.384,38.874,36.32781474,33.622,,,21.584,14.4,17.2,44.857,,18.4,45.955,48.155,36.61775064,41.89974484,34.29315303,21.81074079,19.51433787,42.755,43.968,18.34451123,47.647,20.7,14.2,47.712,17.65777568,46.52307478,17,37.622,18,,42.18,36.097,17.9,22.253,47.415,,45.1,49.851,42.007,41.551,18,32.398,,45.942,34.819,38.075,19.08339563,25.3,48.703,48.09001222,16.5,41.628,13.6,35.80484335,37.63206611,46.51047268,44.49248738,42.25,47.47026734,12.7,40.365,,21.5,44.303,45.97,24,25.5,18.7,39.177,52.994,13.8,28.548,50.695,35.287,44.702,40.623,,33.831,47.086,41.30707821,42.855,34.786,49.074,51.238,42.512,38.98060027,47.68476013,47.36298266,18.9,33.345,40.85798889,38.07747981,42.476,32.81517114,18,15.6,14,17.175,,46.648,,21.761,48.162,53.427,45.20150584,43.862,,37.32378525,27.395,50.184,16.9,40.858,45.62448488,24.402,46.344,,48.44,47.301,36,53.464,37.626,18.4837265,42.294,34.95,57.873,45.899,46.536,19.2,17.9,43.354,,22.5,20.60713266,48.713,36.03636899,43.946,39.552,45.195,41.13,,41.589,16.8,48.11531902,28.9,36.486,23.2,39.992,,40.38779812,18.3073677,36.717,39.004,14.2,16.579,49.398,41.51594087,47.236,47.105,50.176,28.3,41.82,48.486,44.928,,47.107,,47.15982394,51.548,47.15982394,36.3973602,43.894,41.191,18.5,18.5,15.8,48.624,,,46.482,,45.667,36.61946302,21.25711387,48.007,41.244,45.044,41.396,39.28544954,45.379,45.62448488,42.192,41.51594087,47.15982394,30.376,44.021,41.596,,48.877,49.039,15.6,34.36830041,20.909,18.4,40.183,43.614,42.647,,32.72222222,38.354,44.782,33.3562668,44.465,,52.943,38.592,49.853,47.685
8,1967,26.908,51.749,53.317,34.431,,45.87114813,41.528,22.546,25.786,,32.632,19.4,17.3,37.266,47.714,15.3,46.476,47.429,48.669,15,42.029,27.547,25.777,17.39,42.23,,42.865,37.833,24.233,37.759,49.861,46.396,43.557,18.2,17.94005969,17.9,16.198,32.38,33.96,53.241,44.498,46.851,43.009,41.286,46.185,43.601,37.352,35.40741986,32.639,,,20.753,14.1,16.5,44.979,,16.8,44.877,47.804,35.69637737,41.57701046,33.91663727,22.04459697,19.362919,42.405,43.489,17.88483899,47.407,20.7,14.2,47.725,17.83011668,46.42919966,16.8,36.459,17.7,,41.968,36.448,17.5,21.6,47.319,,45.067,49.91,42.117,41.685,18.8,30.578,,45.745,33.754,37.51,19.24053814,23.7,48.539,48.04345287,15.5,40.967,14.6,35.26194027,37.16451559,46.3770199,44.33483546,41.747,47.34764187,14,40.048,,21.1,43.703,46.258,22.2,23.7,17.9,38.334,52.556,19.4,27.365,50.67,34.249,44.302,39.019,,32.662,47.729,40.64733917,42.882,34.09,49.043,51.418,41.518,38.38573678,47.58060783,47.36545441,20.4,32.725,40.54636637,37.60774643,42.547,32.10828693,17.7,14.8,14,15.325,,45.658,,20.944,48.122,52.762,44.74719888,43.867,,36.8146559,26.99,50.233,17,40.52,45.18330137,23.514,45.68,,48.345,46.985,31,53.618,36.474,17.83726109,42.466,35.4,57.666,45.914,46.299,18.9,17.6,43.195,,22.5,20.86318445,48.55,35.59498373,43.763,39.096,44.556,40.614,,41.47,16.3,48.10795534,26.7,37.343,22.8,39.432,,39.56708371,18.54152183,36.265,38.366,27,15.707,49.327,41.23256972,47.125,47.151,50.161,25.6,42.473,48.594,44.37,,47.017,,47.10727202,51.475,47.10727202,35.79619745,43.024,40.1,17.4,17.7,15.4,48.841,,,46.303,,45.869,35.67494761,21.40561858,48.079,40.625,44.232,40.324,38.7171118,44.929,45.18330137,40.783,41.23256972,47.10727202,29.043,43.441,41.125,,48.765,48.979,15.313,33.69597847,20.747,17.8,39.213,42.818,41.321,,32.34444444,37.783,44.009,33.08915876,43.595,,53.117,38.343,49.717,47.57
9,1968,25.817,51.738,53.25,33.451,,45.5107385,40.185,22.547,24.389,,32.18,20.1,17,35.358,47.546,14.8,46.622,47.45,48.433,16.9,40.822,26.821,24.959,16.748,42.081,,42.654,36.934,23.285,37.2,49.694,46.268,43.427,17.6,18.01930362,17.3,15.769,31.573,35.59,52.963,44.639,46.795,43.098,40.129,45.936,42.858,35.787,34.52281429,31.591,,,20.046,13.9,15.7,45.071,,15.3,43.808,47.494,36.75655613,41.26572505,34.78407221,21.62846026,18.96416291,42.005,42.988,17.42455085,47.152,20.1,14.9,47.795,17.48010987,46.31783673,15.9,35.43,17.5,,41.707,36.725,17.2,20.969,47.165,,45.091,50.003,42.274,41.829,18.4,29.233,,45.581,32.863,36.998,18.88326504,21.7,48.324,48.00224455,15,40.299,15.1,35.57158673,37.40455586,46.24937402,44.20462895,41.196,47.22071134,13.7,39.74,,20.9,43.119,46.301,21,24.9,17.7,37.359,52.037,18.7,26.468,50.674,33.389,43.891,37.421,,31.606,48.174,39.98232843,42.926,33.435,49.029,51.459,40.534,37.79878311,47.47073752,47.34632444,20.7,32.049,40.24275771,37.8499435,42.622,32.89209284,17.6,14,14.1,13.76,,44.668,,20.307,48.093,52.005,44.34470067,43.943,,37.07681783,26.489,50.282,16.7,40.185,44.72029417,22.73,45.056,,48.299,46.681,31.6,53.72,35.436,17.6,42.717,35.26666667,57.433,45.994,46.165,18.6,17.6,43.05,,22.7,20.54225884,48.376,35.6743519,43.555,38.619,43.848,40.114,,41.368,16.3,48.10556241,25.5,37.774,22.1,38.774,,38.83898673,18.14899681,35.864,37.655,26.6,15.098,49.393,40.94845655,47.015,47.182,50.145,23.5,43.326,48.679,43.825,,46.911,,47.09308077,51.34,47.09308077,35.5500505,42.233,39.014,17,16.8,14.3,49.034,,,46.192,,46.153,36.7432812,21.02993264,48.146,39.846,43.501,39.352,38.14766569,44.373,44.72029417,39.266,40.94845655,47.09308077,27.973,42.766,40.71,,48.635,48.916,15.16,34.43295391,20.672,17.6,38.343,42.02,39.959,,31.96666667,37.271,43.28,33.23551372,42.749,,53.196,38.127,49.614,47.489
10,1969,24.872,51.704,53.27,32.579,,45.12483236,38.709,22.61,23.355,,31.571,20.4,16.3,33.583,47.382,14.7,46.739,47.456,48.152,17,39.545,26.442,24.246,16.273,41.978,,42.45,36.08,22.456,36.85,49.466,46.132,43.283,17.6,17.45175505,16.7,15.291,30.697,34.11,52.697,44.759,46.725,43.185,38.84,45.706,42.186,34.25,33.70048358,30.522,,,19.494,14.5,14.7,45.123,,14.6,42.762,47.232,35.52373598,40.9567429,33.67095787,21.14184564,18.54082124,41.553,42.468,16.99531851,46.889,19.9,15.4,47.918,16.9705899,46.18845023,14.6,34.566,17.3,,41.391,36.93,16.6,20.386,46.958,,45.17,50.135,42.478,41.979,17.6,28.411,,45.442,32.201,36.525,18.69475928,21.3,48.051,47.96725143,14.5,39.66,15,34.80376725,36.75260221,46.13013191,44.10784494,40.601,47.09084088,15.3,39.441,,21.5,42.572,46.088,20.7,25.6,17.4,36.295,51.454,18.5,25.889,50.7,32.746,43.474,35.914,,30.663,48.371,39.32830699,42.98,32.839,49.033,51.325,39.59,37.22949086,47.35589861,47.29984219,19.9,31.328,39.94704318,37.17777395,42.695,31.773095,17.5,13.3,14,12.513,,43.708,,19.867,48.069,51.188,43.91669793,44.043,,36.35253,25.891,50.326,16.7,39.847,44.24448729,22.067,44.512,,48.294,46.39,27.7,53.772,34.556,17.87180036,43.028,35.13333333,57.189,46.134,46.107,19.2,17.6,42.916,,22.3,20.40787829,48.209,35.42538218,43.332,38.121,43.095,39.637,,41.28,16.4,48.10686467,24.9,37.656,21.7,38.046,,38.22578149,17.94217636,35.497,36.894,23.3,14.761,49.59,40.66324223,46.903,47.193,50.123,21.8,44.331,48.739,43.307,,46.779,,47.08727924,51.148,47.08727924,35.11733521,41.561,37.959,17.7,16.3,13.5,49.191,,,46.144,,46.508,35.49586677,20.60145122,48.202,38.913,42.88,38.531,37.59077044,43.703,44.24448729,37.713,40.66324223,47.08727924,27.215,42.015,40.341,,48.49,48.851,15.114,33.35497077,20.684,17.9,37.618,41.218,38.625,,31.58888889,36.821,42.616,32.72498771,41.954,,53.201,37.945,49.548,47.446
11,1970,24.099,51.648,53.375,31.821,,44.72323697,37.156,22.759,22.694,,30.762,20.6,15,32.003,47.263,14.7,46.835,47.464,47.832,16.3,38.264,26.348,23.626,15.961,41.927,20.3,42.261,35.31,21.746,36.653,49.178,45.998,43.131,17.4,17.09659019,16.1,14.786,29.774,33.43,52.447,44.86,46.647,43.267,37.506,45.509,41.611,32.832,32.77774176,29.405,,,19.107,15,13.4,45.106,25.8,14.4,41.75,47.021,34.86445949,40.64774627,33.14063521,20.85991291,18.1233044,41.044,41.939,16.27807931,46.624,19.5,15.8,48.076,16.37013625,46.04417935,14,33.899,17,21.1,41.016,37.074,16.2,19.874,46.702,,45.302,50.313,42.734,42.132,16.5,28.084,,45.324,31.779,36.051,18.59905921,20,47.73,47.93856544,13.8,39.104,14.7,34.34348424,36.35635392,46.01830984,44.04046307,39.969,46.95910812,16.9,39.145,,21.8,42.099,45.644,19.7,26.1,16.7,35.184,50.793,18.7,25.607,50.735,32.318,43.026,34.614,25.8,31.2,48.251,38.69300996,43.028,32.323,49.055,50.993,38.748,36.68400576,47.23712808,47.22058669,20,30.601,39.65665139,36.75841851,42.756,31.19428452,17.7,13,14.6,11.569,,42.81,,19.619,48.047,50.32,43.48671024,44.075,,35.90431844,25.219,50.357,17.6,39.499,43.7749185,21.52,44.044,,48.309,46.109,27.5,53.782,33.85,18.30628712,43.372,35,56.951,46.324,46.094,18.3,16.7,42.795,,22.1,20.34933032,48.094,35.45523396,43.111,37.596,42.335,39.198,,41.205,16.8,48.11085873,24.8,36.881,20.8,37.309,,37.74585873,17.80391003,35.14,36.154,21.1,14.671,49.911,40.37401397,46.773,47.184,50.082,22.1,45.384,48.771,42.824,,46.606,,47.10937891,50.911,47.10937891,34.83405568,41.043,36.931,17.8,15.9,13.7,49.298,,,46.147,,46.916,34.83808125,20.38270822,48.245,37.847,42.362,37.898,37.05514956,42.847,43.7749185,36.235,40.37401397,47.10937891,26.774,41.224,39.992,,48.338,48.789,15.141,32.78000066,20.762,18.4,37.06,40.396,37.394,,31.21111111,36.415,42.035,32.43013134,41.229,,53.184,37.785,49.514,47.447
